Epoch,Train Loss,Validation Loss,mIOU
1,2.0352225160951494,1.706901671886444,0.26232528311190173
2,1.887338493843566,1.6697414875030518,0.2917046975452658
3,1.8463428930380077,1.6411725158691406,0.3021079316684779
4,1.8250804608030133,1.6403915901184083,0.3151521315364712
5,1.8134290298200246,1.6443478608131408,0.31420223748138854
6,1.8017497667147155,1.6168659129142762,0.32048298304629064
7,1.7945906885855136,1.62844060754776,0.323639344241836
8,1.7891234806422507,1.6097108354568481,0.31687145363643937
9,1.7846715674756275,1.601738389968872,0.3255085931410944
10,1.781089351733579,1.5957990822792054,0.3274751226357366
